State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
FL,Daytona Beach,32118,29.2619163,-81.0270733,46598,28511,41026,303.086573627933
FL,Daytona Beach,32114,29.2220744,-81.0403598,34620,33511,22769,334.817147342058
FL,Paisley,32767,29.1148308,-81.5606553,41850,29233,41945,1020.59517868553
FL,South Daytona,32119,29.1627064,-81.0132821,43893,39156,28555,364.552867493151
FL,Port Orange,32129,29.1628796,-81.0432221,46112,36907,37453,957.173723399238
FL,Port Orange,32127,29.1139694,-81.0071382,65220,42981,58433,708.496533560636
FL,New Smyrna Beach,32169,29.0090325,-80.8906646,66599,49201,55467,265.849672700721
FL,New Smyrna Beach,32168,29.0196185,-80.9685201,30975,22304,27803,284.782331753928
FL,Edgewater,32141,28.9551861,-80.9059949,46956,35548,39382,738.848494716873
FL,De Leon Springs,32130,29.2506853,-81.2979859,101198,83629,68395,446.573354235997
FL,Eustis,32726,28.8393899,-81.6648132,70753,62192,53415,797.958168771245
FL,Deland,32721,29.0371798,-81.3022515,53096,50611,40371,159.254347615533
FL,Orange City,32763,28.9356981,-81.3118163,51727,300000,36485,401.024242195828
FL,Debary,32713,28.8797675,-81.2981322,54435,300000,26660,227.422468761867
FL,Osteen,32764,28.8326445,-81.1385901,64906,49807,52251,440.781165045675
FL,Deltona,32725,28.8872805,-81.2523345,40470,36552,24133,644.419561963809
FL,Lake Helen,32744,28.9740516,-81.1992478,63078,51091,53214,481.948652823352
FL,Deltona,32738,28.898138,-81.200023,53976,44188,40999,801.169925980586
FL,Saint Marks,32355,30.1667076,-84.1884753,55511,55861,32341,219.446397846765
FL,Defuniak Springs,32433,30.8396071,-86.3245073,39698,19838,49607,582.344601182713
FL,Defuniak Springs,32435,30.7405605,-86.081399,40847,29203,26649,266.926032756103
FL,Ponce De Leon,32455,30.6399063,-85.9959044,55575,48736,38390,161.625592148773
FL,Santa Rosa Beach,32459,30.3828134,-86.2190739,66850,300000,42059,547.283529412746
FL,Vernon,32462,30.6720954,-85.7854788,46783,40413,30711,436.951243552197
FL,Astatula,34705,28.7315151,-81.6988133,66121,57072,45441,1761.25621288564
FL,Clermont,34711,28.5339745,-81.6928028,81344,70110,54382,950.075221520186
FL,West Melbourne,32904,28.0685138,-80.6848406,71150,55816,55587,597.808128217006
FL,Fort Myers,33916,26.6435918,-81.8431321,26329,19665,22612,943.095416154934
FL,Fort Myers Beach,33931,26.4910393,-81.9526119,44341,39642,34022,924.764768137675
FL,Cape Coral,33993,26.6795746,-81.9757105,51977,50689,33973,2080.76119040778
FL,Cape Coral,33991,26.613466,-81.9662797,58960,50326,45795,1922.71848088843
FL,Cape Coral,33904,26.5681731,-81.9524934,53239,36489,52397,799.231893921342
FL,North Fort Myers,33917,26.7099024,-81.8668886,34384,23424,30157,1673.77480543526
FL,Lehigh Acres,33974,26.5054464,-81.6641648,88881,43815,86742,411.5854059146
FL,Palm Bay,32909,27.9648573,-80.5817571,77331,55139,60475,1194.25687814881
FL,Lehigh Acres,33971,26.6203963,-81.6717145,54820,50214,42207,464.313431909478
FL,Fort Myers,33967,26.4564393,-81.809033,97625,77511,75949,445.074588619117
FL,Estero,33928,26.4236921,-81.8411362,87308,58367,67981,1468.73513285196
FL,Boca Grande,33921,26.7481663,-82.2579155,111837,106483,76484,154.558465047396
FL,Tallahassee,32303,30.4570859,-84.2837233,53587,39098,47577,684.031484035262
FL,Tallahassee,32310,30.4296319,-84.2971903,25903,15888,28051,471.210369263214
FL,Indian Harbour Beach,32937,28.1457522,-80.5888364,60579,48770,43509,1399.4456512293
FL,Tallahassee,32312,30.6436073,-84.2273008,76392,63024,55296,289.451367577698
FL,Tallahassee,32311,30.4311624,-84.2177278,43979,38546,31642,955.925273947905
FL,Cedar Key,32625,29.1157713,-82.9990046,0,0,0,0.0
FL,Bradenton,34205,27.469725,-82.5671152,29728,21646,29218,1463.31179141328
FL,Bradenton,34210,27.4541015,-82.5808243,41375,30283,36528,1201.36686229106
FL,Sarasota,34243,27.396738,-82.4999956,70371,62549,47817,1194.33927007103
FL,Bradenton,34209,27.5025547,-82.6023308,71718,59288,57176,951.094155297101
FL,Anthony,32617,29.280054,-82.1229873,34582,23324,34642,993.347126845285
FL,Weirsdale,32195,29.007774,-81.9140898,61645,53065,41675,2142.01152569795
FL,Ocala,34476,29.0654926,-82.2558072,45556,39041,26942,1614.25282609864
FL,Ocala,34479,29.2541125,-82.0255965,54063,47799,39412,1477.97674313814
FL,Ocala,34478,29.1783001,-82.10194,71532,53131,59284,1024.12563976521
FL,Ocala,34475,29.1914751,-82.2026167,41748,33447,32026,1790.24919192911
FL,Jensen Beach,34957,27.2170851,-80.1808757,105987,84176,76715,543.464581727591
FL,Gainesville,32608,29.624313,-82.361052,27509,15755,29700,1764.73509067181
FL,Merritt Island,32953,28.3690874,-80.7105532,43173,31048,43532,661.400552337539
FL,Palm City,34990,27.1924982,-80.2752479,113590,105188,71518,617.093570684787
FL,Stuart,34997,27.1621028,-80.2065278,70371,43783,68675,1345.30700656842
FL,Hobe Sound,33455,27.0187292,-80.1809732,125331,300000,81602,156.792705984873
FL,Sunny Isles Beach,33160,25.9340831,-80.1209383,86855,60682,79503,243.382822518439
FL,North Miami Beach,33162,25.9177402,-80.1656245,41839,36222,30991,1249.8331009715
FL,Miami,33167,25.8891438,-80.2354768,46754,34114,39977,1357.12690177636
FL,Opa Locka,33054,25.8864171,-80.254888,27081,16527,32648,1715.4249459274
FL,Palm Bay,32907,28.0208043,-80.6812468,58832,49226,41218,1799.76502261081
FL,Miami,33136,25.7924138,-80.2015118,22164,13361,23311,1259.41903160261
FL,Cape Canaveral,32920,28.4821141,-80.5690727,0,0,0,0.0
FL,Deerfield Beach,33441,26.323129,-80.1139249,42316,33207,38192,1234.83202549055
FL,Parkland,33067,26.3150492,-80.2134122,118346,112964,65395,622.451532145452
FL,Coral Springs,33076,26.2947116,-80.2883441,117346,107159,67942,645.548592425945
FL,Laurel Hill,32567,30.9183838,-86.461669,53775,41014,46703,518.510014523866
FL,Coral Springs,33065,26.263298,-80.2280875,62358,48910,55249,1484.95548224263
FL,Orlando,32812,28.5316735,-81.3376175,58011,50181,46029,850.758871071185
FL,Orlando,32826,28.6019427,-81.182189,86150,80228,55028,937.272622382667
FL,Ft Lauderdale,33308,28.5573742,-81.2780787,45108,35624,39122,2552.39719167336
FL,Orlando,32828,28.553646,-81.1678664,68679,51240,58564,3141.837169791
FL,Coral Springs,33071,26.2491203,-80.2586074,83249,65069,67096,931.357493767254
FL,Ocoee,34761,28.6211153,-81.6185956,0,0,0,0.0
FL,North Lauderdale,33068,26.2240816,-80.2306099,57076,44812,41994,1225.71916167531
FL,Alachua,32615,29.8668252,-82.5112256,72071,59537,51276,1492.03063041482
FL,Pompano Beach,33064,26.2665147,-80.1114779,42673,35358,32757,978.618835731233
FL,Margate,33063,26.2668618,-80.1774012,52992,46897,36399,1395.54268747096
FL,Palm Beach Gardens,33418,26.8292937,-80.1415752,89094,75464,64135,851.321931063924
FL,Loxahatchee,33470,26.8221163,-80.2801335,86577,76289,56404,1118.29079076471
FL,Oakland Park,33334,26.2010531,-80.1220305,92142,59408,77746,1197.58379219493
