Name,Type,Address,Zip Code
304,latin,2215SVermontAve,90007
305,hotdogs,201WWashingtonBlvd,90007
306,hotdogs,1615SBroadway,90015
307,hotdogs,660SFigueroaSt,90017
308,burgers,1011SFigueroaSt,90015
309,salad,3335SFigueroaSt,90007
310,soulfood,800WOlympicBlvd,90015
311,waffles,358W38thSt,90037
312,chinese,2828SFigueroaSt,90007
313,chicken_wings,3003WOlympicBlvd,90006
314,mexican,541SSpringSt,90013
315,tradamerican,888SFigueroaSt,90017
316,mexican,645EWashingtonBlvd,90015
317,cheesesteaks,358W38thSt,90037
318,burgers,530W27thSt,90007
319,bbq,1708SWesternAve,90006
320,hotdog,2528SFigueroaSt,90007
321,mexican,1900SCentralAve,90011
322,chickenshop,557SSpringSt,90013
323,tradamerican,555SSpringSt,90013
324,chickenshop,3462WilshireBlvd,90010
325,tacos,609SSpringSt,90014
326,burgers,724SSpringSt,90014
327,breakfast_brunch,726SAlamedaSt,90021
328,burgers,2921SFigueroaSt,90007
329,thai,358W38thSt,90037
330,hotdogs,3844SFigueroaSt,90037
331,chicken_wings,698SVermontAve,90005
332,southern,1262CrenshawBlvd,90019
333,hotdogs,2810SFigueroaSt,90007
334,tradamerican,1657W3rdSt,90017
335,hotdogs,3629SouthVermontAvenue,90007
336,italian,2827SFigueroaSt,90007
337,korean,442E2ndSt,90012
338,sandwiches,3377WilshireBlvd,90010
339,mexican,421VeniceBlvd,90015
340,burgers,2701SVermontAve,90007
341,foodtrucks,1023SGrandAve,90015
342,burgers,2120WPicoBlvd,90006
343,foodtrucks,2377WPicoBlvd,90006
344,burgers,888SHopeSt,90017
345,vegan,788SGrandAve,90014
346,mexican,4380SBroadway,90037
347,hotdogs,3029W8thSt,90005
348,hotdogs,103SRampartBlvd,90057
349,mexican,2020WPicoBlvd,90006
350,chickenshop,5301WCentinelaAve,90045
351,foodtrucks,1515SLaBreaAve,90019
352,burgers,3342SLaCienegaBlvd,90016
353,burgers,2524WSlausonAve,90043
354,chinese,6802SLaCienegaBlvd,90302
355,mexican,2851SCrenshawBlvd,90016
356,chickenshop,2310SLaCienegaBlvd,90034
357,mexican,3939CrenshawBlvd,90008
358,hotdogs,4050MarltonAve,90008
359,burgers,5015WSlausonAve,90056
360,chickenshop,4070MarltonAve,90008
361,burgers,2075WJeffersonBlvd,90018
362,hotdogs,4714WestSlauson,90056
363,burgers,507NLaBreaAve,90302
364,hotdogs,3350WVernonAve,90008
365,cajun,5818RodeoRd,90060
366,hotdogs,4210CrenshawBlvd,90008
367,burgers,6904LaTijeraBlvd,90045
368,cuban,1415SLaCienegaBlvd,90035
369,hotdogs,3789Crenshaw,90016
370,burgers,3501SLaCienegaBlvd,90016
371,hotdog,3864CrenshawBlvd,90008
372,tradamerican,3453WSlausonAve,90043
373,mediterranean,1976SouthLaCienegaBlvd,90034
374,tradamerican,4327WAdamsBlvd,90018
375,burgers,3340SLaCienegaBlvd,90016
376,chicken_wings,3825CrenshawBlvd,90008
377,hotdogs,3602SLaBreaAve,90016
378,chicken_wings,3268WSlausonAve,90043
379,mexican,6000CrenshawBlvd,90043
380,cajun,4454WSlausonAve,90043
381,hotdogs,5101JeffersonBlvd,90016
382,hotdogs,3540SLaBreaAve,90016
383,diners,3740SCrenshawBlvd,90016
