,Name,Type,Address,Zip Code
13533,"('IL Forno Pizza & Pasta',)",pizza,496OldElmRd,60035
13534,"('Noodles & Company',)",salad,110CSWaukeganRd,60015
13535,"(""Jersey Mike's Subs"",)",hotdogs,190WaukeganRd,60015
13536,"('Panera Bread',)",sandwiches,385LakeCookRoad,60015
13537,"(""McDonald's"",)",burgers,50SWaukeganRd,60015
13538,"(""McAlister's Deli"",)",delis,663LakeCookRd,60015
13539,"('Subway',)",sandwiches,19682ndSt,60035
13540,"('Tropical Smoothie Cafe',)",juicebars,190WaukeganRd,60015
13541,"(""Love's Yogurt"",)",desserts,585ElmPl,60035
13542,"(""Jay Lovell's"",)",breakfast_brunch,766SheridanRd,60040
13543,"(""Jimmy John's"",)",sandwiches,601LakeCookRd,60015
13544,"(""Domino's Pizza"",)",pizza,9PrairieAve,60040
13545,"('Café Zupas',)",sandwiches,711DeerfieldRd,60015
13546,"(""Charlie Beinlich's Food & Tap"",)",tradamerican,290SkokieBlvd,60062
13547,"('Ravinia Park Restaurants',)",tradamerican,201StJohnsAve,60035
13548,"(""Demetri's Greek Restaurant"",)",greek,660LakeCookRd,60015
13549,"('Rosebud Deerfield',)",italian,711DeerfieldRd,60015
13550,"('IL Forno Pizza & Pasta',)",pizza,496OldElmRd,60035
13551,"('Los Mogotes De Michoacan',)",mexican,2069GreenBayRd,60035
13552,"(""Jay Lovell's"",)",breakfast_brunch,766SheridanRd,60040
13553,"('Dairy Queen Orange Julius',)",icecream,600CentralAve,60035
13554,"(""Domino's Pizza"",)",pizza,9PrairieAve,60040
13555,"(""Love's Yogurt"",)",desserts,585ElmPl,60035
13556,"('Café Zupas',)",sandwiches,711DeerfieldRd,60015
13557,"('Subway',)",sandwiches,19682ndSt,60035
13558,"('Rosebud Deerfield',)",italian,711DeerfieldRd,60015
13559,"(""Jimmy John's"",)",sandwiches,701RocklandRd,60044
13560,"(""McDonald's"",)",hotdogs,2587WaukeganRd,60015
13561,"('Donati’s Pizza',)",pizza,205SWaukeganRd,60044
13562,"('Subway',)",sandwiches,13783WOasisServiceRd,60045
13563,"(""Jimmy John's"",)",sandwiches,1924NIlRoute83,60073
