"name","type","address","zip_code","state_ab","city","zip_code-2","lst","lon","mean","median","stdev","sum_w"
"Flores","mexican","2030 Union St","94123","CA","San Francisco","94123","37.8022683","-122.4391509",122229,110331,74461,"498.8967394"
"Joe's Coffee Shop","diners","6134 Geary Blvd","94121","CA","San Francisco","94121","37.7880433","-122.4885865",140696,131522,86724,"139.1877373"
"Belly Good Cafe & Crepes","icecream","1737 Post St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"La Tortilla","mexican","495 Castro St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Pancho's Salsa Bar & Grill","mexican","3440 Geary Blvd","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"Bistro Gambrinus","sportsbars","1813 Fulton St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Jamba","juicebars","1300 9th Ave","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Subway","sandwiches","2675 Geary Blvd","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"George's Zoo Liquor Deli","beer_and_wine","2560 Sloat Blvd","94116","CA","San Francisco","94116","37.746019","-122.4804356",82738,60686,69109,"268.6871552"
"SF Hole in the Wall Catering","catering","1827 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Lunch Box","hotdogs","50 Phelan Ave","94112","CA","San Francisco","94112","37.7280629","-122.4372594",103187,83574,84934,"156.6236581"
"Great Steak","sandwiches","3251 20th Ave","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Geneva Steakhouse","steak","5130 Mission St","94112","CA","San Francisco","94112","37.7280629","-122.4372594",103187,83574,84934,"156.6236581"
"Kitchen Istanbul","greek","349 Clement St","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"Palio Caffe - UCSF","delis","500 Parnassus Ave","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Boudin Bakery & Cafe","bakeries","3251 20th Ave","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Taqueria El Jalapeno","mexican","1338 Ocean Ave","94105",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bai Som Thai Kitchen","thai","2121 Clement St","94121","CA","San Francisco","94121","37.7880433","-122.4885865",140696,131522,86724,"139.1877373"
"La Fonda","mexican","712 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Pete's Deli & Cafe","delis","1661 Divisadero St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"Subway","sandwiches","1501B Sloat Blvd","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Kamekyo","sushi","943 Cole St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"El Toreador Restaurant","mexican","50 W Portal Ave","94127","CA","San Francisco","94127","37.7391909","-122.4678657",134649,300000,75047,"81.16144117"
"Sea Breeze Restaurant","breakfast_brunch","3940 Judah St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Park Chalet","breweries","1000 Great Hwy","94121","CA","San Francisco","94121","37.7880433","-122.4885865",140696,131522,86724,"139.1877373"
"Big City Chefs","personalchefs","221 24th Ave","94121","CA","San Francisco","94121","37.7880433","-122.4885865",140696,131522,86724,"139.1877373"
"India Clay Oven","indpak","2436 Clement St","94121","CA","San Francisco","94121","37.7880433","-122.4885865",140696,131522,86724,"139.1877373"
"Royal Ground Coffee","coffee","3101 Geary Blvd","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"Rincon Latino","salvadoran","5080 Mission St","94112","CA","San Francisco","94112","37.7280629","-122.4372594",103187,83574,84934,"156.6236581"
"The Salad Place & Rotisserie","sandwiches","5392 Mission St","94112","CA","San Francisco","94112","37.7280629","-122.4372594",103187,83574,84934,"156.6236581"
"Pho Ha Tien","vietnamese","1900 Ocean Ave","94127","CA","San Francisco","94127","37.7391909","-122.4678657",134649,300000,75047,"81.16144117"
"Jamba","juicebars","500 Parnassus Ave Millberry","94619","CA","Oakland","94619","37.7978944","-122.1949575",142270,144163,64428,"56.92534843"
"Tortas Boos Voni","mexican","5170 Mission St","94112","CA","San Francisco","94112","37.7280629","-122.4372594",103187,83574,84934,"156.6236581"
"The Cypress Grill","tradamerican","99 Harding Rd","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Cup & Cake Cafe","coffee","3500 Geary Blvd","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"Clay Oven Indian Restaurant","indpak","385 W Portal Ave","94127","CA","San Francisco","94127","37.7391909","-122.4678657",134649,300000,75047,"81.16144117"
"Cafe Reverie","sandwiches","848 Cole St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Subway","sandwiches","595 Buckingham Way","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Little Joe's Pizza","italian","5006 Mission St","94112","CA","San Francisco","94112","37.7280629","-122.4372594",103187,83574,84934,"156.6236581"
"Wise Sons Jewish Deli","bagels","1520 Fillmore St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"Mel's Drive-In","diners","801 Mission St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Dijon Burger","burgers","1428 Polk St","94109","CA","San Francisco","94109","37.798037","-122.4205599",120686,105824,84510,"439.5722336"
"Irving Subs","sandwiches","1298 12th Ave","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Applebee's Grill + Bar","burgers","2770 Taylor St","94133","CA","San Francisco","94133","37.8016201","-122.4156811",98645,82929,77710,"435.0801444"
"Cordon Bleu","vietnamese","1574 California St","94109","CA","San Francisco","94109","37.798037","-122.4205599",120686,105824,84510,"439.5722336"
"El Super Burrito","mexican","1200 Polk St","94109","CA","San Francisco","94109","37.798037","-122.4205599",120686,105824,84510,"439.5722336"
"Buffalo Burger Restaurant","burgers","5317 Geary Blvd","94121","CA","San Francisco","94121","37.7880433","-122.4885865",140696,131522,86724,"139.1877373"
"Chez Maman East","french","1401 18th St","94107","CA","San Francisco","94107","37.7753304","-122.4022764",124686,120979,92008,"201.1924959"
"Freshroll Vietnamese Rolls and Bowls","vietnamese","157 4th St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Domino's Pizza","pizza","876 Geary St","94109","CA","San Francisco","94109","37.798037","-122.4205599",120686,105824,84510,"439.5722336"
"Ziggy's Burgers","burgers","21 Drumm St","94111",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Slice House Haight by Tony Gemignani","pizza","1535 Haight St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Gyro King","greek","25 Grove St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"The Original Ghirardelli Ice Cream & Chocolate Shop","icecream","900 North Point","94109","CA","San Francisco","94109","37.798037","-122.4205599",120686,105824,84510,"439.5722336"
"Bellissimo Pizza","pizza","920 Sutter St","94109","CA","San Francisco","94109","37.798037","-122.4205599",120686,105824,84510,"439.5722336"
"San Tung","chinese","1031 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Papalote Mexican Grill","mexican","1777 Fulton St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"VeganBurg","vegan","1466 Haight St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Sweet Maple","tradamerican","2101 Sutter St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"Golden Gate Tap Room","sportsbars","449 Powell St","94108","CA","San Francisco","94108","37.7929713","-122.4127333",103341,56013,94813,"190.1587671"
"The Grove Yerba Buena","sandwiches","690 Mission St","94105",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Next Level Burger","burgers","450 Rhode Island St","94107","CA","San Francisco","94107","37.7753304","-122.4022764",124686,120979,92008,"201.1924959"
"Mahalo!","breakfast_brunch","1376 9th Ave","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Dinosaurs","vietnamese","2275 Market St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Garaje","mexican","475 3rd St","94107","CA","San Francisco","94107","37.7753304","-122.4022764",124686,120979,92008,"201.1924959"
"Gamine","french","2223 Union St","94123","CA","San Francisco","94123","37.8022683","-122.4391509",122229,110331,74461,"498.8967394"
"Taqueria Castillo B","mexican","86 McAllister St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Little Vietnam Cafe","vietnamese","309 6th Ave","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"El Rancho Grande","mexican","1654 Haight St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Mo's Grill","burgers","1322 Grant Ave","94133","CA","San Francisco","94133","37.8016201","-122.4156811",98645,82929,77710,"435.0801444"
"Panda Express","chinese","865 Market Street","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Super Duper Burgers","burgers","783 Mission St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Players Sports Grill & Arcade","tradamerican","The Embarcadero","94133","CA","San Francisco","94133","37.8016201","-122.4156811",98645,82929,77710,"435.0801444"
"Chowder Hut Fresh Grill","newamerican","2890 Taylor St","94133","CA","San Francisco","94133","37.8016201","-122.4156811",98645,82929,77710,"435.0801444"
"Fort Mason Market & Deli","delis","1701 Greenwich St","94123","CA","San Francisco","94123","37.8022683","-122.4391509",122229,110331,74461,"498.8967394"
"Tacorgasmico","mexican","2337 Market St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Boudin Bakery & Cafe","bakeries","170 O'farrel St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Lucca Food Deli & Wine Shop","beer_and_wine","1899 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Taqueria Zorro","mexican","308 Columbus Ave","94133","CA","San Francisco","94133","37.8016201","-122.4156811",98645,82929,77710,"435.0801444"
"HRD","asianfusion","521A 3rd St","94107","CA","San Francisco","94107","37.7753304","-122.4022764",124686,120979,92008,"201.1924959"
"California Pizza Kitchen at San Francisco","pizza","53 3rd St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Good Luck Cafe and Deli","delis","621 Kearny St","94108","CA","San Francisco","94108","37.7929713","-122.4127333",103341,56013,94813,"190.1587671"
"El Castillito","mexican","136 Church St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"SF Hole in the Wall Pizza","pizza","1825 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Belly Good Cafe & Crepes","icecream","1737 Post St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"Souvla","greek","758 Valencia St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Kokkari Estiatorio","greek","200 Jackson St","94111",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Boudin Bakery & Cafe","bakeries","The Embarcadero","94133","CA","San Francisco","94133","37.8016201","-122.4156811",98645,82929,77710,"435.0801444"
"China Express Deli","chinese","2732 Mission St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"SanJalisco Mexican Restaurant","mexican","901 S Van Ness Ave","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Mercury Cafe","coffee","201 Octavia Blvd","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Subway","sandwiches","77 Van Ness Ave","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Loló","mexican","974 Valencia St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
